MouseSpeed,ClickintervalAvg,scrollSpeedAvg,averageTypingSpeed,averageTimeSpent,keystrokes[0],keystrokes[1],keystrokes[2],label
0.04261712547,4282,0.2299012532,4.569333333,13796.2407,89,107,147,1
0.02122328959,1876.285714,0.004019795218,2.284833333,127.5254,242,114,102,1
0.004519125744,1429.888889,0.03756284737,2.1658,127.5255,135,99,10,1
0,1833.666667,0,1.8135,127.5257,90,116,5,1
0.4415306715,1779,0.06113213,2.694,17828.315,3,97,87,1
0.06523494833,3113.428571,0.06113213,2.1511,17828.315,3,97,87,1
0.3842594211,7643.5,0,5.322666667,17828.3154,39,104,46,1
0.06350420422,1680.333333,0,1.54575,17828.3155,185,61,76,1
0.070530551,1545.75,0,1.56425,17828.3156,94,55,,1
0.04356780716,1676,0,2.071,17828.3158,40,114,,1
0.01992866676,1210.428571,1.092839443,2.04025,127.5277,222,161,102,1
0.07321744906,2059,0,2.0215,17828.3159,17,292,,1
0,964.3333333,0,1.265666667,17828.3161,2,153,,1
0.02427417718,2532.5,0.8204595735,3.4042,127.5281,282,180,159,1
0.02355592896,2871,1.057527429,3.4074,127.5282,169,152,409,1
0,1074.5,0,1.311,17828.3162,2,68,,1
0.4075223582,2252.285714,1.039303155,2.714833333,127.5289,598,228,676,1
0.05359140274,1805.666667,0,1.67025,17828.3164,73,180,84,1
0.02192614534,1770.625,0.8319374772,2.112285714,127.529,533,304,240,1
0.04876094156,1157.888889,0,1.6195,17828.3165,,,,1
0.02973582029,1991.5,6.177246732,2.290333333,127.5292,289,216,,1
0.06455216652,1632.75,0.4867273337,1.5682,0.008100000024,3,61,89,1
0.03558723867,1590,0.4867273337,1.5682,0.008100000024,3,61,89,1
0.03558723867,1681.5,0.4867273337,1.5682,0.008100000024,3,61,89,1
0.03558723867,1550.142857,0.4867273337,1.5682,0.008100000024,3,61,89,1
0.03166353971,1437.5,1.026743957,1.862833333,127.5294,298,207,427,1
0.01317676212,912.3333333,0,1.5434,17828.3168,121,157,2,1
0.01585281222,1165.9,0,2.15775,0.008300000042,4,53,6,1
0.02381303161,2049.5,0,2.4348,17828.3169,67,87,58,1
0.03234595099,1151.363636,1.003403529,1.8055,127.5295,265,313,319,1
0.03234595099,1197.333333,1.003403529,1.8055,127.5295,265,313,319,1
0.0325500791,1853,1.41594045,2.094,0.008400000066,252,163,139,1
0.0337586396,4721.5,0,6.3435,17828.3171,141,208,113,1
0.03114494857,5354,1.515022924,3.969,0.008700000077,5,553,10,1
0.03808178137,1129,0.5678745679,1.90475,127.5297,387,22,157,1
0.02235410504,1699,0,1.625,0.008900000095,69,3,14,1
0,2307.4,0,1.1704,17828.3173,267,126,,1
0.04143731709,1328,2.502814089,1.457666667,0.009100000113,5,46,7,1
0.01237118388,2044.5,0.85645463,2.5985,127.53,69,1276,109,1
0.03177021714,1697.666667,1.519995915,2.5305,0.009200000107,6,72,73,1
0.1238160019,1762,0,1.869333333,17828.3175,172,2,180,1
0.01807185343,2639.333333,0.05485622107,2.37275,0.009400000095,48,5,306,1
0.03217426274,1328.5,1.330154899,1.9214,127.5301,223,5,866,1
0.04893724091,1555.5,0.1077942597,1.592333333,0.009500000089,34,12,53,1
0.03280338864,1757.666667,0.2400954873,2.3654,17828.3178,81,145,38,1
0.8871281962,1587.666667,0.1077942597,1.592333333,0.009500000089,34,12,53,1
0.02306923434,1753.75,0.7789245167,2.219,127.5303,4,49,175,1
0.04735959006,1395.5,-0.07794217734,1.68025,0.009600000113,17,116,23,1
0.04735959006,1290.571429,-0.07794217734,1.68025,0.009600000113,17,116,23,1
0.3441129891,2067.25,0.4456976361,2.856333333,17828.3178,37,225,103,1
0.1172278906,1318.666667,0.6316820276,2.267,0.009800000131,31,70,66,1
0.03371447466,942,1.697916667,2.0685,0.009900000125,67,71,130,1
0.02419185352,1887.875,0.7911988438,2.656833333,127.5305,38,121,53,1
0.06290867314,1164.5,0.486618199,1.771,0.01000000012,293,,,1
0.03021192696,2057.333333,-0.01733277444,2.471,17828.3179,124,55,55,1
0.06205175451,1688,2.419382123,2.198,0.01010000011,288,243,154,1
0.02034871506,1497,1.022859283,2.102,0.01020000011,247,5,28,1
0.06363772779,1689.25,0.03071744935,1.7875,0.01050000012,213,161,153,1
0.03557324624,2891,0.5178713709,4.2212,17828.318,141,53,222,1
0.05960927812,1486.6,0,1.8745,0.0108000001,10,1624,22,1
0.07087297649,1613.6,-0.0127775934,3.73,127.5307,236,539,28,1
0.2891844409,2073,0,1.8295,0.0109000001,61,28,311,1
0.1875900073,3208.333333,0.2608999711,3.354333333,17828.3181,279,128,449,1
0.04191331227,2594,0.6333692603,2.728,0.01100000009,266,138,53,1
0.03459928425,1423.5,0.7331376628,1.589333333,0.01110000011,212,190,143,1
0.03122071754,2313.333333,-0.0442867924,2.548166667,127.5308,201,414,,1
0.09529015171,1914.4,0,2.6712,17828.3184,141,63,2,1
0,905,0,1.8485,0.01120000011,52,68,,1
0.02017996848,1068.5,0.5582034807,1.702666667,0.0114000001,5,179,70,1
0.498901865,2475.25,0.04300467426,2.7315,17828.3185,79,113,12,1
0.0407368823,1647.625,0.6492067481,2.3435,127.531,36,10,159,1
0,918.5,0,1.3635,0.0114000001,85,36,95,1
0,1132,0,1.3635,0.0114000001,85,36,95,1
0,1085,0,1.3635,0.0114000001,85,36,95,1
0,1426,0,1.455,0.01150000012,57,111,138,1
0.04972902718,1724,0.3155446476,2.3935,17828.3186,45,80,39,1
0.4866919397,1216.5,0,1.228666667,0.01160000011,4,254,,1
0.0239635464,1627.333333,0.850952238,2.449833333,127.5311,315,156,17,1
0,1155,0,1.274,0.01200000012,61,170,12,1
0.5217763572,2125.125,0.3155446476,2.94125,17828.3186,45,80,39,1
0.07030604296,1154,0,1.672,0.01220000011,8,204,13,1
0,809.5,0,1.7855,0.01250000009,8,683,19,1
0.02017673509,1574.333333,-0.03391247727,2.16625,17828.3188,15,148,4,1
0.01459513887,1550.5,0.7883651535,2.554333333,127.5313,283,512,503,1
0.07554887701,2300,0.7741775468,2.6055,0.01270000011,205,926,194,1
0.07220635885,1423,0.06270544131,1.419,17828.319,158,34,70,1
0.1192359388,1922,-0.03189320124,1.922,0.0128000001,9,675,3,1
0,1151,1.873270622,1.312666667,0.01310000011,3,147,19,1
0.02347647043,2189.25,0,2.039,17828.3192,43,146,97,1
0,1618,0.09385699765,2.156,0.01320000014,7,211,3,1
0.0005377748864,1683.25,0.6624056345,2.716166667,127.5314,221,258,232,1
0.06300837975,1002,2.122317538,2.175,0.01320000014,3,180,4,1
0.01949025487,1854.8,-0.01912324463,2.74925,17828.3193,65,29,3,1
0.03182039239,1316,-0.1814330856,1.333,0.01330000016,222,19,,1
0.09960101769,1317,0,1.389333333,0.01340000018,188,15,4,1
0.1028095457,1344.5,0.09605709758,2.3896,17828.3194,18,86,142,1
0.05187461853,1596.6,0.2131426174,2.37425,127.5316,75,114,130,1
0.02240922806,1923.571429,0,2.5376,17828.3195,106,109,145,1
0.04194162774,2793.333333,0.3377321636,2.5845,127.5318,162,232,427,1
0.06465230424,807.3333333,0.6448082517,1.525,0.01360000017,2,3,190,1
0,2472,0,2.1518,17828.3197,157,,,1
0.03146530326,1233.4,0.5392073614,1.635,0.01370000017,202,6,258,1
0.01863523995,1406.25,0,2.0162,17828.3198,65,87,53,1
0.04422757234,1883.5,0.5690915694,3.1985,127.532,153,100,16,1
0.06026808843,1382.8,0,1.414666667,0.01390000018,3,233,30,1
0.07128301727,1587.636364,0.02402323307,2.278166667,17828.3198,65,87,53,1
0.02353862199,1719.333333,0,1.863,0.01420000017,4,13,232,1
